image,criterion,n_classes,repair,algorithm,seed,budget,evaluations,best_score,optimal_score,gap,rel_gap,hit_optimum,evals_to_best,seconds,thresholds
camera,otsu,2,distinct,random,20260914,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,285,0.1393102909787558,102
camera,otsu,2,distinct,random,20260915,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,211,0.13034600001992658,102
camera,otsu,2,distinct,random,20260916,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,384,0.042385708016809076,102
camera,otsu,2,distinct,random,20260917,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,3,0.1408697500010021,102
camera,otsu,2,distinct,random,20260918,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,38,0.08462920802412555,102
camera,otsu,2,distinct,random,20260919,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,248,0.07242120802402496,102
camera,otsu,2,distinct,random,20260920,1000,1000,21305.66434399935,21305.665072836513,0.0007288371634786017,3.420860888345733e-08,False,233,0.12407187500502914,103
camera,otsu,2,distinct,random,20260921,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,185,0.05996179097564891,102
camera,otsu,2,distinct,random,20260922,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,499,0.0974144579959102,102
camera,otsu,2,distinct,random,20260923,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,184,0.12742445897310972,102
camera,otsu,2,distinct,random,20260924,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,237,0.021210167033132166,102
camera,otsu,2,distinct,random,20260925,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,917,0.17346366704441607,102
camera,otsu,2,distinct,random,20260926,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,205,0.10252987500280142,102
camera,otsu,2,distinct,random,20260927,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,2,0.0748107919935137,102
camera,otsu,2,distinct,random,20260928,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,311,0.11628870799904689,102
camera,otsu,2,distinct,random,20260929,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,166,0.07068458298454061,102
camera,otsu,2,distinct,random,20260930,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,157,0.20692499994765967,102
camera,otsu,2,distinct,random,20260931,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,76,0.0699017089791596,102
camera,otsu,2,distinct,random,20260932,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,339,0.10238045797450468,102
camera,otsu,2,distinct,random,20260933,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,62,0.10418133303755894,102
camera,otsu,2,distinct,random,20260934,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,727,0.04489670798648149,102
camera,otsu,2,distinct,random,20260935,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,7,0.10937424999428913,102
camera,otsu,2,distinct,random,20260936,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,88,0.052109875017777085,102
camera,otsu,2,distinct,random,20260937,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,97,0.10738587501691654,102
camera,otsu,2,distinct,random,20260938,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,162,0.09261412505293265,102
camera,otsu,2,distinct,de,20260914,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,106,0.040009208023548126,102
camera,otsu,2,distinct,de,20260915,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,59,0.08633083401946351,102
camera,otsu,2,distinct,de,20260916,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,96,0.014049042016267776,102
camera,otsu,2,distinct,de,20260917,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,3,0.007178166008088738,102
camera,otsu,2,distinct,de,20260918,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,144,0.10084929101867601,102
camera,otsu,2,distinct,de,20260919,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,69,0.008359291008673608,102
camera,otsu,2,distinct,de,20260920,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,122,0.11640337505377829,102
camera,otsu,2,distinct,de,20260921,1000,1000,21305.665072836513,21305.665072836513,0.0,0.0,True,133,0.0563549580401741,102
