image,kind,criterion,n_classes,optimal_score,thresholds,psnr,ssim,fsim,dice,iou
phantom_c2,phantom,otsu,2,24971.894283627134,126,23.15302777268514,0.3860500530303762,0.5116670950807318,0.9989776609592873,0.9979574101382884
phantom_c2,phantom,kapur,2,8.199063810062672,130,23.14601072163225,0.3860328888807053,0.5119919333549275,0.998764037959031,0.9975311273512528
phantom_c3,phantom,otsu,3,22151.878867582425,79-174,24.803487395033166,0.46169827893406845,0.5557263934302676,0.9917581355350689,0.9836676396809079
phantom_c3,phantom,kapur,3,12.325930704918719,54-104,16.24429934807739,0.40358020711649306,0.5208579395743276,0.59247835085287,0.5083335297463426
phantom_c4,phantom,otsu,4,21272.062275443794,63-127-191,25.782621902758414,0.5364162610227025,0.615727005629219,0.9755108219659306,0.9523572140781816
phantom_c4,phantom,kapur,4,15.86037263048853,64-126-189,25.77658442229525,0.53439288068912,0.6158185804264483,0.974882364049535,0.9511645732883716
phantom_c5,phantom,otsu,5,20806.127405903346,54-102-150-199,26.627213681595943,0.6481619574630934,0.6997679379289946,0.9389819677337166,0.8857797383092108
phantom_c5,phantom,kapur,5,19.174416086370787,53-102-151-200,26.620937498276454,0.6514610273780358,0.702029809842034,0.9385434547245323,0.8849899028568251
phantom_c6,phantom,otsu,6,20515.69896819415,49-88-127-165-204,27.571276493792197,0.7497295156835633,0.7953928824305889,0.8797000696032707,0.7873429700518221
phantom_c6,phantom,kapur,6,22.09411992899543,46-86-126-166-206,27.532904162343456,0.7585693582530498,0.8017231621601902,0.877689308627021,0.7838734914011173
camera,real,otsu,2,21305.665072836513,102,19.24020030701106,0.6531439778988123,0.6259591690195574,,
camera,real,otsu,3,21844.491043948747,87-176,24.40640783417785,0.7495851829278333,0.7357621395710602,,
camera,real,otsu,4,21928.8655542879,69-134-180,26.330436817091908,0.8054624142384701,0.8107452896420103,,
camera,real,otsu,5,21970.483899967643,46-100-145-182,27.72673605006592,0.8423521993670952,0.8472107648107603,,
camera,real,otsu,6,21992.265079494144,19-55-107-147-182,28.687488137387035,0.8801400230350432,0.8693713066868506,,
camera,real,kapur,2,8.684188963262038,140,17.318372123694644,0.6375326772195513,0.5962851247972666,,
camera,real,kapur,3,12.253829588918258,49-123,20.231422087634922,0.7104865679096952,0.6945555407303233,,
camera,real,kapur,4,15.486457945469608,49-123-222,20.626407006890382,0.7209852606631455,0.7229440064064486,,
camera,real,kapur,5,18.533305035528095,49-115-165-222,25.89673912373353,0.795108133756782,0.8074211934967654,,
camera,real,kapur,6,21.408183443764855,39-80-123-169-222,27.348688531933263,0.816561399521345,0.8436636020216641,,
coins,real,otsu,2,11496.105744990826,107,19.798309334174732,0.6357246233583753,0.6491665352740571,,
coins,real,otsu,3,11862.255318572945,77-139,23.147548038199165,0.7307750868328103,0.734785639055459,,
coins,real,otsu,4,11990.649681809778,63-107-156,25.421302766255003,0.7692747561359042,0.794719503679586,,
coins,real,otsu,5,12050.911437288198,58-95-134-173,27.11488741483677,0.7998710879194234,0.8404587519429383,,
coins,real,otsu,6,12090.395500554663,49-77-108-142-177,28.742070383957067,0.8277937541393455,0.8666939914504854,,
coins,real,kapur,2,9.162647363142423,123,19.408887665179023,0.6582580729610337,0.6621481576069662,,
coins,real,kapur,3,12.580404261728178,92-161,22.41151169748352,0.7372089450320267,0.7677204545616081,,
coins,real,kapur,4,15.7595527334446,76-134-195,24.172915112253417,0.7637362210493764,0.796834979621683,,
coins,real,kapur,5,18.689552186993023,65-110-157-205,26.118823227065047,0.7879301416709668,0.8343610689482466,,
coins,real,kapur,6,21.427219668627096,58-95-133-172-209,27.64316205309536,0.8073954109531489,0.8601485471397563,,
page,real,otsu,2,31748.04396532161,157,18.55227636823036,0.6896192720871048,0.6925153387403324,,
page,real,otsu,3,32281.856378209137,114-186,22.40556898633163,0.7958903275603157,0.8072403083969598,,
page,real,otsu,4,32441.471517756643,93-150-199,24.82493768651087,0.8376765921877529,0.8555806541645974,,
page,real,otsu,5,32518.31065737625,71-119-161-203,26.755805561812846,0.8608975767611127,0.8834208498607853,,
page,real,otsu,6,32562.984079302067,68-113-151-185-215,28.465978409279955,0.8757091251881749,0.9047485421714642,,
page,real,kapur,2,9.288083903301601,121,17.39741595611337,0.7593207493275633,0.7478596181739275,,
page,real,kapur,3,12.827832154326348,82-158,20.777625064570252,0.8107186238301808,0.8113680620864383,,
page,real,kapur,4,16.051051779807544,70-126-183,24.09330502777155,0.8400080110723056,0.8524414308892241,,
page,real,kapur,5,18.96620967227042,66-115-159-203,26.726501261304737,0.863003226701431,0.8831586861726854,,
page,real,kapur,6,21.752233221678356,44-85-126-166-206,27.454988075148435,0.8637745388454316,0.8894502585019733,,
moon,real,otsu,2,12663.802647709745,87,28.31231607280386,0.8767025300132232,0.7257904070457315,,
moon,real,otsu,3,12694.243022723776,86-141,29.97062683386766,0.8863190133505893,0.7557903039713857,,
moon,real,otsu,4,12716.849206514182,60-102-142,31.810271981496058,0.8927558897948804,0.77924627150392,,
moon,real,otsu,5,12732.62832101375,56-97-114-148,33.80415923552884,0.8979586269246973,0.822667902760576,,
moon,real,otsu,6,12739.00870707746,56-97-113-133-182,34.970974749274774,0.9063643438378435,0.8384160356885327,,
moon,real,kapur,2,7.225641181142026,135,26.495952205398257,0.8732489033067674,0.7049072526908018,,
moon,real,kapur,3,11.005847081440361,86-135,29.946987749746,0.8878779611427662,0.7605065293212507,,
moon,real,kapur,4,13.948975167436792,65-100-135,31.70650773908031,0.9001279668931095,0.7943645552339899,,
moon,real,kapur,5,16.845792055692826,65-100-132-171,32.54565918265888,0.9050314578347471,0.8046559345501564,,
moon,real,kapur,6,19.23938543908119,44-76-100-132-171,33.204480371956826,0.9135581136913238,0.8274439783352199,,
text,real,otsu,2,17047.35259528788,109,25.424485072403247,0.7488029837870951,0.7071415205156578,,
text,real,otsu,3,17147.189659549433,90-129,28.753480774533713,0.8019964169142005,0.8163889111788255,,
text,real,otsu,4,17182.381332058285,79-115-136,31.016857935716956,0.8491543875372537,0.8760040129426571,,
text,real,otsu,5,17198.96003472118,71-104-125-140,32.70598699449091,0.8839962067943055,0.9126319363880209,,
text,real,otsu,6,17208.510047016018,63-94-116-131-143,34.095759495609784,0.9079286164839245,0.9342820563238913,,
text,real,kapur,2,8.183003745703523,94,25.055616297806743,0.7270402035250639,0.7070631149225286,,
text,real,kapur,3,11.237865901287597,63-106,26.613509111140267,0.7712138473827328,0.7741487240418763,,
text,real,kapur,4,14.035628068303394,39-81-115,28.003963923503434,0.798095176210805,0.8113270420596497,,
text,real,kapur,5,16.564324939352815,38-65-94-121,29.358801576592718,0.8171231755315198,0.8435940282153366,,
text,real,kapur,6,18.864621894246167,31-58-83-106-130,31.42284486199813,0.8440891203689554,0.8835436631651253,,
cell,real,otsu,2,5037.588730329067,122,26.3317456608101,0.8888441783440812,0.8370459886988744,,
cell,real,otsu,3,5128.656459121123,50-123,30.32027747457377,0.8895104474607232,0.8318715233714755,,
cell,real,otsu,4,5144.683103811799,50-108-173,31.657634883661263,0.8915798319037808,0.8345600226973627,,
cell,real,otsu,5,5160.479362904035,40-62-109-173,33.55173446407075,0.8888213680307957,0.8423570383932127,,
cell,real,otsu,6,5169.957363883197,33-55-67-110-173,35.25790853368856,0.9136236004599539,0.8761714317162843,,
cell,real,kapur,2,8.139505359671523,80,25.898622574848787,0.888163788757584,0.8412912077918407,,
cell,real,kapur,3,11.768577625075245,82-140,26.584103229308468,0.8915974178409413,0.8458134930827396,,
cell,real,kapur,4,15.1310930403427,49-82-140,30.93049179175624,0.8916038813026578,0.8375966926906401,,
cell,real,kapur,5,18.40470383715985,49-82-140-219,31.126373195386357,0.8923523991872895,0.838016039423024,,
cell,real,kapur,6,21.41725331121405,49-82-133-176-221,32.063474853236244,0.894896683998395,0.8423269539970253,,
human_mitosis,real,otsu,2,595.3905063116938,38,29.503546389399986,0.9229140685898523,0.8336842350877708,,
human_mitosis,real,otsu,3,628.6242209428742,34-82,32.1466214874154,0.9397199968830668,0.8693058120905676,,
human_mitosis,real,otsu,4,644.6177648972904,28-59-105,34.38837369476523,0.9553310189786607,0.9093766862229373,,
human_mitosis,real,otsu,5,652.0912700711851,21-44-68-112,36.035939511002674,0.9664844652908453,0.9363604274552106,,
human_mitosis,real,otsu,6,656.2323651192818,16-34-55-76-118,37.318109170450846,0.9728748130821574,0.9518851290287805,,
human_mitosis,real,kapur,2,7.0358710128612625,98,23.6691518446953,0.6769678302363368,0.5881946130458577,,
human_mitosis,real,kapur,3,10.554511852195946,23-104,30.92207188365944,0.9240118437406365,0.8304488461839855,,
human_mitosis,real,kapur,4,13.845228593768425,23-98-162,31.316085408123143,0.9258742467849834,0.8352376974699718,,
human_mitosis,real,kapur,5,16.73372860184784,20-69-105-162,33.07455762032924,0.937643428103272,0.8733956883463377,,
human_mitosis,real,kapur,6,19.43521740337799,19-52-87-118-162,35.354768836345286,0.9573238751477757,0.9189186649462515,,
microaneurysms,real,otsu,2,9932.90680500089,93,32.75646681647657,0.8461962460963144,0.8011812153250968,,
microaneurysms,real,otsu,3,9948.631840112399,86-100,35.40209712990317,0.89622009851874,0.8855023221947413,,
microaneurysms,real,otsu,4,9955.52320692211,84-96-105,37.39252276563043,0.931970741141371,0.9231133807698624,,
microaneurysms,real,otsu,5,9959.383090811982,79-91-98-105,39.10364535898271,0.9541259843942699,0.9511131050537445,,
microaneurysms,real,otsu,6,9961.520563990378,79-91-98-103-110,40.45506179667609,0.9651578281140798,0.9622185806237992,,
microaneurysms,real,kapur,2,5.251370183382542,84,31.631135553659192,0.8424688718996558,0.811168834682283,,
microaneurysms,real,kapur,3,7.159876006377329,55-86,32.02040641972399,0.8483865297337128,0.8157171873037252,,
microaneurysms,real,kapur,4,8.914964892199293,55-84-114,32.297954531249665,0.8491431633544146,0.8267865102664308,,
microaneurysms,real,kapur,5,10.440455378917207,55-74-93-115,34.73902731691235,0.8781561087737858,0.8730108322590947,,
microaneurysms,real,kapur,6,11.77288280464,55-67-83-96-115,36.41434837375439,0.9010412317796886,0.9088287345158721,,
retina,real,otsu,2,8888.265690313063,54,24.095972885353913,0.8173640594111766,0.7869593647299992,,
retina,real,otsu,3,9031.934671913847,49-114,27.69448835574988,0.8267925562970602,0.7893693919302968,,
retina,real,otsu,4,9073.888473990497,46-101-124,29.74326530535769,0.8386329667599808,0.8214785162766775,,
retina,real,otsu,5,9102.689727180026,45-98-117-153,32.09431692825268,0.864352830125989,0.8527777948966815,,
retina,real,otsu,6,9113.918392793377,43-94-108-124-158,33.51402796074544,0.8806831777036532,0.8806222748080231,,
retina,real,kapur,2,8.005026376693783,149,14.769071501290474,0.581537074656894,0.6588707743644695,,
retina,real,kapur,3,11.087527995773716,145-179,14.804178028049881,0.5808893421355886,0.6593398321072651,,
retina,real,kapur,4,13.900134967364789,114-146-180,15.91511482107784,0.5489697323560324,0.6576256977133584,,
retina,real,kapur,5,16.434833937347243,114-146-178-211,15.916229755410695,0.5493640490845955,0.6580642526927866,,
retina,real,kapur,6,18.69684276421648,114-145-169-193-214,15.918678050337201,0.5504319667914316,0.6597756269752018,,
